question_num,type,utterance,page,targetValue,csv_file
4289,3,"in 1906, how many total rolling stock vehicles were in service?",19,12,203
4377,2,how long did it take number 71 to retire?,19,24,203
5949,1,did american car company or w.l. holman car company build cars that were 44' in length?,19,W. L. Holman Car Company,203
11678,3,what was the total number of cars listed?,19,13,203
12495,3,what was the number of cars built by american car company?,19,4,203
1037,3,is dean winstanley listed above or below kyle anderson?,20,Above,203
1707,1,"other than kyle anderson, who else lost in 2014?",20,Terry Jenkins,203
1850,3,who was the last to win against his opponent?,20,Michael van Gerwen,203
3826,1,did terry jenkins or per laursen win in 2014?,20,Per Laursen,203
9691,2,who are the only players listed that played in 2011?,20,Adrian Lewis,203
10943,1,name a year with more than one game listed.,20,2013,203
10959,3,who won the first world darts championship?,20,Raymond van Barneveld,203
13142,3,how many champions were from norway?,20,0,203
652,3,who scored the most points?,22,Manuela Bravo,203
1053,3,who was the last draw?,22,Manuela Bravo,203
1884,2,"who sang ""eu só quero"" as their song in the eurovision song contest of 1979?",22,Gabriela Schaaf,203
5987,1,which artist came in last place?,22,Teresa Silva Carvalho,203
13449,1,what is the total amount of points for florencia?,22,63,203
243,3,what is the average score of all home team members for all dates?,24,1.75,203
553,2,on which date did the home team member not score?,24,4 March 2008,203
671,3,how many ties are listed total?,24,4,203
1629,1,which team has the same score as rah ahan?,24,Steel Azin,203
2491,3,at most 8 were scored on what date,24,17 December 2007,203
5767,3,on what date did the home team score zero points against their opponent?,24,4 March 2008,203
9158,3,which team's score was better than sanaye arak?,24,Pegah Gilan,203
9637,3,what is the total number of points earned by all away team members in december?,24,9,203
11689,3,each of these teams both scored 4 goals,24,Foolad|Esteghlal Ahvaz,203
3181,1,has frits pirard won more or less than bert oosterbosch?,25,Less,203
12748,3,what was the number of stages in the 1983 tour de france?,25,22,203
13894,3,what was the total number of days for the tour?,25,23,203
2790,3,what is the number of winners from kenya?,26,19,203
6606,1,name the male and female winners for 2013.,26,Yemane Tsegay (ETH)|Ruth Wanjiru (KEN),203
7397,3,how many times did philip singoei win?,26,2,203
7451,3,who was the first recorded winner of the eindhoven marathon?,26,Fritz Schöning (FRG),203
9865,3,who was the last european woman to win the eindhoven marathon?,26,Agnes Hijman (NED),203
10570,3,what is the number of times the eindhoven marathon has been held since 1959,26,30,203
11434,3,what was the number of times that mieke hombergen won?,26,3,203
1035,2,"how long, in km, was the event in helsinki,finland?",28,20 km,203
2030,3,how many times did they place 1st after 2008?,28,1,203
3918,3,how many years consecutive featured the 20 km event?,28,7,203
7063,1,what was the only year that a 5 km event took place?,28,2002,203
7131,3,how long was the shortest event?,28,5 km,203
8568,1,where was the only 5km event held?,28,"Bridgetown, Barbados",203
9897,3,how many times did they participate in the olympic games?,28,1,203
11563,3,what was the last year that they received first?,28,2010,203
12401,1,"in 2004, 4th position was achieved. in this same year, what other position was also achieved?",28,1st,203
13497,3,how many times did they participate in the world championships?,28,4,203
285,3,who was the next rider after tetsuya harada?,35,Jean-Philippe Ruggia,203
998,1,who was the only rider to score 9 points?,35,Jean-Philippe Ruggia,203
1800,3,how many riders were faster than massimo ottobre?,35,10,203
2752,3,who was the last rider in the 250cc class?,35,Takeshi Tsujimura,203
3158,3,what is the total number of japanese riders in the top 20?,35,3,203
4075,3,which rider scored more than 16 points but less than 25?,35,Marcellino Lucchi,203
4179,3,what is the difference between marcellino lucchi's points and max biaggi's points?,35,5,203
5966,3,how many riders in the top 15 were riding a honda?,35,9,203
6884,3,does olivier jacque have the same time as tetsuya harada?,35,No,203
7769,3,what is the number of italian riders that placed in the top 10?,35,3,203
7867,1,what manufacturer is listed for max biaggi and marcellino lucchi?,35,Aprilia,203
25,3,what's the number of parishes founded in the 1800s?,36,4,203
2147,3,how many parishes were founded before 1900?,36,4,203
2237,2,how many parishes had fr frank thorpe as their parish priest?,36,2,203
4973,1,name a parish that no parish priest is listed.,36,St Joseph,203
9387,1,"other than st mary, which parish was founded by fr frank thorpe?",36,Our Immaculate Mother & St Anselm,203
10905,1,which parish was founded after 1950?,36,St Veronica (Chapel of Ease),203
11741,2,which parish is the only one to have closed?,36,St Joseph,203
13965,3,which parish was founded earlier between st. joseph and st james the less?,36,St James the Less,203
770,2,which school was in the columbus neighborhood and was demolished?,40,School 73,203
1597,3,how many schools were turned into private apartments?,40,3,203
6126,3,how many schools are vacant?,40,16,203
10769,3,what is the total number of schools that are now vacant?,40,16,203
12354,1,which school is the first school to have been closed?,40,School 35,203
12831,3,what is the total number of schools that were demolished?,40,24,203
4874,1,which route had plain stage terrain and was used on the 27th of june?,44,Freiburg - Besançon,203
10036,3,how many different countries won at least one stage in the 1964 tour de france?,44,5,203
2367,3,"how many television channels in nambour, queensland are in hd?",51,4,203
4625,3,what is the definition of the last channel?,51,SD,203
4871,3,what number of organisations have private ownership?,51,10,203
4923,3,how many private owned channels are there?,51,10,203
5703,3,how many channels are in hd?,51,4,203
7964,2,"which organization has more television channels in nambour, queensland, nine network or australian broadcasting commission?",51,Australian Broadcasting Corporation,203
8024,3,how many channels are not an abc channel?,51,12,203
9226,3,what are the number of channels owned by the government?,51,6,203
11344,3,whats is the number of channel's that broadcast in hd?,51,4,203
11479,3,"which television channels in nambour, queensland are owned by the same organization as abc1?",51,ABC2|ABC3|ABC News 24,203
2836,3,how many laps total were completed by all drivers?,52,1144,203
3488,3,how many total laps were there in the 2008 canadian grand prix?,52,70,203
4298,3,who placed first in the 2008 canadian grand prix?,52,Robert Kubica,203
5613,3,what is the number of drivers that finished the 2008 canadian grand prix before jarno trulli?,52,5,203
6798,3,who had the fastest lap time?,52,Robert Kubica,203
7106,3,who finished after nico rosberg?,52,Jenson Button,203
8077,3,adrian sutil had to retire before which driver?,52,Lewis Hamilton,203
8576,1,who was the last driver listed to receive points?,52,Sebastian Vettel,203
8704,3,"of all the retired drivers, which of them completed the least amount of laps?",52,Adrian Sutil,203
10114,3,which country did most drivers represent?,52,Germany,203
13137,3,how long did robert kubica take to complete the race?,52,1:36:24.227,203
13520,3,how many drivers completed at least 45 laps?,52,15,203
13854,3,how many cars spun off the track?,52,2,203
227,3,when was the last super chinese game released?,55,1999,203
1797,3,"of the titles released in north america, which had the least releases?",55,Super Chinese World,203
3966,3,what are the total of super chinese games released?,55,13,203
5472,1,number of super chinese world games released,55,3,203
7262,3,the first year a game was released in north america,55,1986,203
8739,3,how many action games were released in north america?,55,2,203
13316,3,which platforms had the most titles released?,55,GB,203
332,3,how many stars have a magnitude greater than zero?,56,14,203
1883,3,how many stars have a current magnitude of at least 1.0?,56,11,203
1939,3,how much farther (in ly) is epsilon canis majoris than zeta sagittarii?,56,26,203
7830,3,how many stars have a distance at maximum of 30 light years or higher?,56,9,203
8961,3,is capella's current magnitude more than vega's current magnitude?,56,Yes,203
9313,3,what is the difference in the nearest current distance and farthest current distance?,56,491.4,203
10860,3,how many stars do not have a current magnitude greater than zero?,56,5,203
11053,3,which star has the highest distance at maximum?,56,Canopus (fourth time),203
12149,1,what is the only star with a distance at maximum of 80?,56,Beta Cygni,203
13956,3,what is the number of stars that have a maximum magnitude less than zero?,56,5,203
6322,3,"based on the table of brazil's results at the fifa world cup between 1930 and 2010, in which listed year did brazil play on average only a single match in round 1?",57,1934,203
9639,3,how many goals did brazil score in the 1950 world cup?,57,22,203
9707,3,largest victory,57,7-1,203
10189,3,"based on the table of brazil's results at the fifa world cup between 1930 and 2010, in which year did brazil's player romeu score a point in brazil's bronze final match against sweden after previously scoring a point in the semi-final match against italy?",57,1938,203
10253,3,the most goals scored in a game,57,11,203
11170,3,"based on the table of brazil's results at the fifa world cup between 1930 and 2010, in which year did teams score no match points at all during the final between brazil and italy?",57,1994,203
460,1,"according to usgs estimates of mine production, what was the total estimated mine production of niobium minerals from the nation of brazil in 2006?",59,"40,000",203
3167,1,what is the total amount of niobium produced in rwanda in 2000?,59,28,203
3382,3,"which countries did not produce more than 1,000 in the year 2006?",59,Australia|Mozambique|Nigeria|Rwanda,203
4017,3,after brazil which country produced the most niobium?,59,Canada,203
4897,1,which country produced 50 in 2002 but only 13 in 2003?,59,Congo D.R.,203
6085,2,what country was the top producer of niobium in the year 2003?,59,Brazil,203
10106,1,"according to usgs estimates of mine production, which nation in 2005 produced a larger quantity of niobium mineral production, nigeria or rwanda?",59,Rwanda,203
10236,2,a total of how many (t) of niobium was produced in the world in the year 2000?,59,"32,600",203
12446,2,besides australia which other countries produced more than 100 in the year 2000?,59,Brazil|Canada,203
13132,2,"in 2000, did world mine production according to usgs estimates produce more tons or less tons of output of niobium minerals than in 2002, when a total of 29,900 tons was estimated to have been mined?",59,more,203
138,2,in which country did thierry tulasne win his last singles title?,60,Switzerland,203
709,2,"what are the total games won against claudio pannata on june 10,1985 in bologna,italy?",60,1,203
1658,3,what is thierry tulasne number of clay court titles?,60,4,203
2870,3,how many tournaments were played indoor?,60,1,203
3676,3,how many singles finals did thierry tulasne win against swedish opponents?,60,3,203
4019,3,who was the opponent in the last tournament?,60,Henri Leconte,203
4239,3,what were the total number of times the championship was held in italy?,60,2,203
5643,2,in which country did thierry tulasne win 2 consecutive titles in 1985,60,Italy,203
5744,3,who is the only player to be listed twice as an opponent in the finals?,60,Andrés Gómez,203
6299,3,which surface was used the least?,60,Indoor,203
8053,3,how many were played before 1985?,60,2,203
8274,3,how many indoor titles did therry tulasnewin?,60,1,203
9168,3,which month were the most championships played?,60,September,203
11656,3,how many atp tour titles did thierry tulasne win?,60,5,203
993,3,"nigeria has the most gold medals, but who has the most medals overall?",61,South Africa,203
1587,1,the total number of medals won by south africa was how many?,61,30,203
4765,2,how many gold medals has kenya won?,61,5,203
4929,1,"which african country had 8 silver medal wins, but no gold medals?",61,Algeria,203
5306,3,what is the difference of silver medals between south africa and kenya?,61,7,203
6227,1,which african country had more total medal wins then nigeria?,61,South Africa,203
7391,3,which nation won the same amount og golds as ghana?,61,Senegal|Tunisia,203
7391,3,which nation won the same amount og golds as ghana?,61,Senegal|Tunisia,203
7813,3,which nation won more gold medals than south africa?,61,Nigeria,203
11006,3,what was the total number of medals won by madagascar?,61,3,203
11794,3,which nation won the most gold medals?,61,Nigeria,203
12394,3,how many gold medals did the ivory coast and namibia win combined?,61,0,203
12786,1,"which 4 countries were scored last, with only 1 bronze medal each?",61,Central African Republic|Uganda|Namibia|Ivory Coast,203
13778,1,which country was ranked as the top in the 1999 all-africa games?,61,Nigeria,203
294,1,what is difference in points between c.d. aguila and chalatenango?,67,14,203
921,3,what is the difference between the number of goals scored from the highest scoring team and the lowest scoring team?,67,25,203
2906,1,besides c.d. arcense which other team has 17 points?,67,Chalatenango,203
5191,3,how many games were played?,67,180,203
5608,3,which team scored the most points?,67,C.D. FAS,203
5697,3,which team conceded the least goals?,67,C.D. FAS,203
5784,1,which team earned more than 30 points besides c.d. fas?,67,C.D. Águila,203
6512,3,which team scored the most goals?,67,C.D. Águila,203
7473,3,how many points did alianza f.c. receive?,67,28,203
10360,3,who was the top team of the apertura 2003 standings?,67,C.D. FAS,203
12579,3,what two teams ended the season with the same record of wins/loses/draws?,67,San Salvador F.C.|Alianza F.C.,203
14141,3,which team earned the least amount of points in the apertura 2003 standings?,67,C.D. Atlético Balboa,203
5009,3,who was the first ambassador the united states has sent to mexico?,69,William Shaler,203
5277,3,how many years has does this table cover?,69,88,203
8514,3,what is the total number of representatives?,69,50,203
8875,3,at least what number of people have the title minister,69,26,203
9542,3,who was the last person appointed on this table?,69,Powell Clayton,203
11468,3,which united states president appointed the most ambassador's to mexico,69,James Buchanan,203
12655,3,count the number of special diplomatic agents and give that number.,69,22,203
876,3,how many nations won at least 10 medals?,70,8,203
1212,1,how many more medals did egypt win than ivory coast?,70,5,203
2062,1,how many bronze medals does togo have?,70,1,203
10467,1,what was the total medal count of switzerland?,70,8,203
10732,3,how many counties have at least one silver medal?,70,18,203
10744,1,what is the difference between france's and egypt's silver medals?,70,23,203
12554,3,who placed in first according to medals?,70,France,203
1329,2,yes or no: dundee is ranked in the top third of this for population.,74,No,203
1392,3,which urban area has the least people per square kilometer?,74,Livingston,203
2645,1,what is the total area of edinburg?,74,120.11,203
5805,3,"how many urban areas have a density below 2,500?",74,1,203
7983,3,which urban area ranks first in population density?,74,Edinburgh,203
8811,3,"which has a higher population density, greater glasgow or falkirk?",74,Greater Glasgow,203
9268,1,which urban area is ranked first overall?,74,Greater Glasgow,203
11064,3,"how many urban areas have a population above 90,000?",74,5,203
11199,3,which urban area has the largest population?,74,Greater Glasgow,203
881,1,which driver has the least amount of points?,76,Ralf Schumacher,203
1386,3,"which driver in the top 8, drives a mclaran-mercedes but is not in first place?",76,Kimi Räikkönen,203
1427,1,is there a points difference between the 9th position and 19th position on the list?,76,No,203
4849,3,how many drivers received points from the race?,76,8,203
5512,3,how many drivers from germany?,76,3,203
6176,3,what is the number of toyota's on the list?,76,4,203
11191,2,which driver has his grid at 2?,76,Jenson Button,203
11391,3,"after 8th position, how many points does a driver receive?",76,0,203
12221,3,which driver came after giancarlo fisichella?,76,Jenson Button,203
391,3,which album was the least acclaimed but did reach the billboard 200?,77,i,203
2502,1,which album by the magnetic fields reached higher than 100 on the billboard chart?,77,Distortion|Love at the Bottom of the Sea,203
3722,1,was distortion or love at the bottom of the sea the highest rated album?,77,Distortion,203
4815,3,what is the total number of albus from this chart that made the billboard 200?,77,4,203
6936,3,what was the earliest released album?,77,Distant Plastic Trees,203
7561,3,how many years after 1999 did merge records release their next album?,77,5,203
9072,3,what album title came next after get lost?,77,69 Love Songs,203
12048,1,realism and i were above or below number 100 on the billboard 200?,77,Below,203
398,3,which company has the least number of employees?,83,Vitol,203
1365,3,what company has the top revenue?,83,"Wal-Mart Stores, Inc.",203
2242,1,who earned the same revenue as hon hai precision industry?,83,Ford Motor Company,203
3427,1,how many employees does vitol have?,83,"2,800",203
3718,3,how many oil and gas industries made the top 10 in ranking of revenue list?,83,6,203
4348,3,what is the company with the highest revenue in the automotive industry?,83,Volkswagen Group,203
6984,3,how many companies have at least 200 billion in revenue for oil and gas?,83,8,203
10039,3,which company is ranked at the top with the largest revenue?,83,"Wal-Mart Stores, Inc.",203
11825,3,what company is ranked below apple?,83,Japan Post Holdings,203
1772,3,the least amount of females,88,Romanian,203
3155,3,which language had the least female speakers?,88,Romanian,203
4436,3,which language had the smallest number of females speaking it.,88,Romanian,203
7569,2,is german above or below russia in the number of people who speak that language?,88,below,203
9363,2,number of male russian speakers,88,13 551,203
10542,3,what was the top language from the one's whose percentage was >0.01,88,Romanian,203
11390,3,what was the next most commonly spoken language in poland after russian?,88,German,203
11748,3,what is the highest percentage of speakers other than polish?,88,Yiddish,203
11933,3,which language had the most number of people speaking it.,88,Polish,203
973,2,what religious group is the only one with at least 90% literacy %?,90,Jain,203
2630,3,how many of these religious groups have a literacy rate of above 60%?,90,5,203
3608,1,how long was the timespan in which growth was measured?,90,10 years,203
4756,3,what has the least percentage in india?,90,Jain,203
5674,3,the number of religious groups with a sex ratio of more than 1000 is how many?,90,1,203
7163,2,which is the only religious group to have a literacy rate above 90%?,90,Jain,203
7806,3,which religion has the highest percentage represented in india?,90,Hindu,203
10636,3,how many religious groups have a leteracy rate of 70% at most?,90,3,203
12704,3,which religious group has the highest population %?,90,Hindu,203
769,1,in which olympic games did arasay thondike not finish in the top 20?,91,2012,203
3935,3,does arasay thondike have more/less than 4 1st place tournament finishes?,91,less,203
10802,3,how many times was the number one position earned?,91,3,203
13610,3,what is the number of competitions held in cuba?,91,3,203
365,3,which elected successor took office the earliest?,93,Henry E. Prickett,203
829,3,who was appointed before h.w. whillock?,93,Byron E. Hyatt,203
3819,3,"who resigned earlier, james p. pope or h. w. whillock?",93,James P. Pope,203
4087,1,what number of years did john hailey serve?,93,0,203
6081,3,how many never took office?,93,2,203
12206,1,who was appointed after dirk kempthorne?,93,H. Brent Coles,203
935,1,how many strokes marked the margin of victory for justin rose in 2011?,94,2,203
1025,3,first player to win with a score over 70 for one round?,94,Justin Rose,203
1165,3,besides tiger woods what other player won between 2007 and 2009?,94,Camilo Villegas,203
1220,3,after justin rose won in 2011 who won next?,94,Rory McIlroy,203
6905,3,what is the total amount of american players that have won the western open since 2007?,94,3,203
12314,3,which player earned the most between 2007 and 2013 in the western open?,94,Tiger Woods,203
12866,3,who was the last winner of the western open(2013)?,94,Zach Johnson,203
13857,1,who won after tiger woods in 2010?,94,Dustin Johnson,203
14072,3,which player won by the least number of strokes?,94,Dustin Johnson,203
14074,3,count the number of times the western open has been held at the cog hill golf and country club since 2007.,94,4,203
925,1,"in equal sized portions, do potatoes or plantains contain more grams of protein?",97,potatoes,203
1124,3,what food has the highest amount of magnesium?,97,Maize / Corn,203
4933,3,what staple has the least amount of fat?,97,Sweet potato,203
5013,3,which of the major staple foods contains the highest number of grams of carbohydrates in a 100 gram portion?,97,Rice,203
9207,2,what is the difference in grams of water between 100g of wheat and 100g of rice?,97,1,203
10759,3,how many staples have more than 5 grams of fiber?,97,3,203
11091,3,how many staples have at least 1 mg of zinc?,97,3,203
12744,3,what staple has the most potassium?,97,Yam,203
13651,3,at least how many grams of water do the staple foods have?,97,9,203
1272,3,which morgan creek film grossed the most money prior to 1994?,98,Robin Hood: Prince of Thieves,203
1369,3,what is the top grossing film?,98,Robin Hood: Prince of Thieves,203
3293,2,did true romance make more or less money than diabolique?,98,Less,203
4500,1,was the budget for young guns more or less than freejack's budget?,98,less,203
4932,3,what movie came out after bad moon?,98,Wild America,203
5199,3,what movie was made immediately before the pledge?,98,The In Crowd,203
6665,3,what was the last movie morgan creek made for a budget under thirty million?,98,Ace Ventura Jr: Pet Detective,203
7002,1,what was the only movie with a 48 million dollar budget?,98,Robin Hood: Prince of Thieves,203
7758,3,which morgan creek film grossed the most worldwide?,98,Robin Hood: Prince of Thieves,203
8248,2,"which film had a higher budget, ace ventura: when nature calls, or major league: back to the minors?",98,Ace Ventura: When Nature Calls,203
9426,3,how many films were there in 1990?,98,5,203
11207,2,what is the number of films directed by david s. ward?,98,2,203
12650,3,"after young guns, what was the next movie with the exact same budget?",98,Major League,203
13801,2,how many films did morgan creek make in 2006?,98,2,203
668,3,what is the total number dallara chassis listed in the table?,99,5,203
1456,3,which team won the champ car world series the year before rusport?,99,Newman/Haas Racing,203
3237,3,how many times did sébastien bourdais win the champ car world series between 2005 and 2007?,99,2,203
4221,3,was the average speed in the year 2011 of the indycar series above or below the average speed of the year before?,99,below,203
6057,3,how many different teams are represented in the table?,99,4,203
7857,3,how many flags other than france (the first flag) are represented?,99,3,203
9163,3,what is the least amount of laps completed?,99,75,203
13002,3,how many total honda engines were there?,99,4,203
128,3,"in 2008 in track and field events who broke more world records, usain bolt or haile gebrselassie?",102,Usain Bolt,203
526,3,in 2008 in track and field events how many world records did usain bolt break?,102,4,203
952,3,is the best time for the 100 m more or less than the time for the 110 m hurdles?,102,less,203
1417,3,"which record is faster, 50km race walk or marathon",102,Marathon,203
2538,3,what country's 200 m was the quickest?,102,Jamaica,203
3983,1,in 2008 in track and field events how long did it take for dayron robles to run the 110 m hurdles when he broke the world record.,102,12.87,203
4048,3,in how many places were the records made?,102,5,203
5638,3,what is the longest time on the table?,102,3:34:14,203
6091,3,what is last city in china to host world record,102,"Beijing, China",203
7577,3,what is the number of countries listed in the table,102,4,203
8036,3,how many world records does ethiopia hold?,102,1,203
8529,3,what is the number of world records that were recorded in august?,102,3,203
9436,1,who set consecutive world records in the 100m?,102,Usain Bolt,203
9539,1,what is the average speed on each runner in the 4 x 100 m relay?,102,37.10,203
10288,3,how many records were set in beijing?,102,3,203
12702,3,which person set at least 2 world records?,102,Usain Bolt,203
14,3,which athlete was from south korea after the year 2010?,104,Kim Yu-na,203
284,3,how many total medals has the united states won in women's figure skating?,104,16,203
3169,1,how many silver medals did evgeni plushenko get?,104,2,203
3261,3,what was the greatest number of gold medals won by a single athlete?,104,3,203
7018,3,how many more silver medals did gillis grafström have compared to sonja henie?,104,1,203
8573,3,how many medals have sweden and norway won combined?,104,7,203
13431,3,which nation was the first to win three gold medals for olympic figure skating?,104,Sweden,203
711,2,which building has 8 floors and is 240 ft tall?,105,Industrial Exposition Building,203
4309,2,how tall is it to the top of the ids tower in feet?,105,792,203
5642,1,which building has the same number of floors as the lumber exchange building?,105,Metropolitan Building,203
8687,1,how many floors does the foshay tower have?,105,32,203
8887,1,how long did the lumber exchange building stand as the tallest building?,105,1 year,203
9476,3,name the tallest building.,105,IDS Tower,203
9903,1,is the metropolitan building or the lumber exchange building taller?,105,Metropolitan Building,203
10812,3,what was the first building named as the tallest?,105,Globe Building,203
11845,3,after ids tower what is the second tallest building in minneapolis?,105,Foshay Tower,203
13848,3,how many buildings on the list are taller than 200 feet?,105,5,203
1149,1,which 2 super middleweight champions both had the same about of successful defenses?,107,Joe Calzaghe|Sven Ottke,203
1887,3,what were the total amount of successful defenses andre ward had?,107,6,203
2881,3,what is the total number of title defenses completed by german champions?,107,27,203
3023,3,how long was the longest title reign?,107,"10 years, 11 months, 15 days",203
3251,3,what is the difference between the number of successful defenses by joe calzaghe and robert stieglitz?,107,15,203
5735,3,who had the most successful defenses?,107,Joe Calzaghe|Sven Ottke,203
